id,timestamp,variant,price
ajs-next-1f97b539a9646875630a7598be24a1f7,2024-04-01 23:41:20.716000,SHE-SNC-62001-S-BLK,23.99
ajs-next-478d324c026922d6e9bc1679bb1065d0,2024-04-01 23:42:16.515000,SHE-HWS-55021-S-BGE,25.99
ajs-next-9407c9f61ff43888899005422d27de85,2024-04-01 23:40:02.285000,SHE-HWS-55021-S-BGE,25.99
ajs-next-028af3193a99c1f9af7ba23c64c3f000,2024-03-18 05:30:33.171000,SHE-HWS-55021-S-BLK,20.99
ajs-next-7de3a0362730e2adfd14586b1b826c93,2024-01-07 18:13:49.672000,"",32.99
ajs-next-4246e2bc15fb223f4044c5843ce88116,2024-03-12 02:36:04.709000,SHE-HWS-55021-S-BGE,25.99
ajs-next-53700edff75faef7228c79d7149f6994,2024-01-12 14:56:00.006000,SHE-SNC-62001-S-LVD,19.99
ajs-next-e8deda51482cc409a7e9ffdb6a42348f,2024-03-25 18:52:17.036000,SHE-SNB-95001-S-BLK,29.99
ajs-next-d2ea00dd5dccc8d8c6c8cc382755ae6e,2024-02-14 18:27:26.101000,TRU-WSB-10024-S-BLK,28.99
ajs-next-a2ebe2555e2422274ee1383df29d5a67,2024-01-20 00:01:10.566000,EMP-OBB-73003-S-NUD,20.99
ajs-next-9ee1590fe5ab2923191dce5f0b19281a,2024-01-20 00:32:58.090000,"",40
ajs-next-0eaefa7b1393b74eaf61a33b5725c4e9,2024-01-20 00:33:22.567000,"",28.99
ajs-next-d2ef8ed8677db564729f1fc21d81932d,2024-01-19 13:20:07.900000,"",29.99
ajs-next-981466b22923c60e7b1b354fbfad03dd,2024-03-29 19:00:14.419000,BLI-DF3463-34C-NUD,49
ajs-next-dc886038dfde256bc5315c6f0221e9e2,2024-03-07 18:56:58.940000,TRU-SPB-10022-S-BLK,28.99
ajs-next-110094b1e4e67bbd275bfde2050605b8,2024-03-26 13:36:06.093000,EMP-SNC-62001-S-BLK,17.99
ajs-next-763213d2a5c4d73d0146b416615019ae,2024-03-26 13:36:10.632000,EMP-SNC-62001-S-BLK,17.99
ajs-next-6e9838ed822c0cf2a743dac8b5f97c8c,2024-04-11 08:50:58.564000,TRU-SPB-10022-S-BLK,29.99
ajs-next-1a579049bc254c76c4bc952fd935d6de,2024-04-11 08:29:36.425000,EMP-OBB-73003-S-NUD,20.99
ajs-next-3e6249ad41d3325a7a25fb9cb5856fdd,2024-03-13 17:18:51.778000,TRU-LAB-10210-S-CHT,32.99
ajs-next-b066c9b29cb41ea8d0005e4457d0fb7a,2024-03-21 06:42:08.923000,TRU-LAB-10210-S-BLK,34.99
ajs-next-628db2e8612e6e652b6f3711e52708ae,2024-03-22 04:46:29.535000,EMP-HWC-42024-S-BLK,26
ajs-next-fee0a453b20a5a1fdbedcde2090a5dce,2024-03-28 10:49:52.860000,TRU-LAB-10210-S-BLK,48
ajs-next-38bf99d2cff7d677b2ad12eb1efe5259,2024-01-26 19:04:34.144000,TRU-SPB-10022-S-BLK,44
ajs-next-81ea66a428bbdafa680431c05917c3dd,2024-02-22 16:38:07.236000,SHE-SNB-95001-S-BLK,29.99
ajs-next-86c5cc07ec0146c16da73cf95295a7eb,2024-02-22 16:42:50.589000,TRU-SPB-10022-S-BLK,28.99
ajs-next-f58d7ebf101932496a5551c7404fe84c,2024-03-23 15:39:12.769000,TRU-SPB-10022-S-BLK,28.99
ajs-next-584ecdc96078a8a8009d6baac25f3be5,2024-04-11 01:26:54.060000,EMP-HWOP-31048-S-BLK,15.99
ajs-next-a7f9a0f74b50ea3491d603cae1087eb3,2024-03-14 15:58:22.691000,TRU-LAB-10210-S-CHT,32.99
ajs-next-db40fab505345767f9a19e2a80f6f8ff,2024-04-11 00:07:16.184000,TRU-SPB-10022-S-BLK,28.99
ajs-next-ffe728add46349e809922b19e169fa2d,2024-04-11 00:21:37.010000,EMP-OBC-73001-S-NUD,19.99
ajs-next-c432f194e57bb86accbab74516fb0522,2024-04-11 00:22:47.447000,TRU-LAB-10210-S-BGE,34.99
ajs-next-323bbbc6582e1df0b37165d28af05833,2024-03-27 13:57:55.187000,SHE-SNC-62001-S-NUD,23.99
ajs-next-852839c42cdd611e5669693a86aeff20,2024-04-03 04:00:10.164000,SHE-SNC-62001-S-BLK,23.99
ajs-next-49236883b3932ae71fd68755c25fe6c6,2024-04-09 14:43:48.090000,TRU-MSB3-51422-BLK-XSS,19.99
ajs-next-94d048c8e2ea31e820087cf3bf895954,2024-03-27 15:30:30.423000,SHE-SNC-62001-S-NUD,23.99
ajs-next-729eb599a66afa2d8cc501c966ef9bd9,2024-03-31 20:46:54.002000,TRU-SPB-10022-S-BLK,28.99
ajs-next-022018904043d3fb857116b072ddd7f2,2024-03-18 13:24:34.748000,TRU-SPB-10022-S-BLK,28.99
ajs-next-cc4ac1caab7394d6f8bf2e48ed5d3c12,2024-03-25 22:57:21.577000,EMP-HWS-55020-S-BLK,13.99
ajs-next-57c5d4487b715a82247c7c4c472a4ee3,2024-03-25 22:57:31.607000,SP-SL-S-BLK,23.99
ajs-next-2832c041be3a5ff4b2314b00627ada84,2024-03-23 01:07:45.265000,TRU-LAB-10210-S-BLK,34.99
ajs-next-33bd9582ccb8f39725bbe770571d4b1d,2024-01-13 23:08:36.720000,SM-WB-V1,10
ajs-next-e13b693ad293ba12e808d0723ee4adf8,2024-04-11 05:36:01.652000,TRU-SB-91404-XS-BLK,19.99
ajs-next-97722837da953887d8e6d399c7778312,2024-02-25 06:57:04.234000,EMP-HWT-98099-S-BLK,17.99
ajs-next-7499bd9e46c05827a1188de899756690,2024-04-07 11:38:50.409000,TRU-WSB-10024-S-BLK,41
ajs-next-c209dc0292d6115c0fb8e9e0b4b1006d,2024-03-22 04:57:32.867000,TRU-SPB-10022-S-BLK,40
ajs-next-36935a1109386bffda82aabdf1b96dac,2024-03-17 21:06:22.346000,TRU-MSB-51422-XS-S-DUMMY,7.99
ajs-next-9a605822e2601fc197c42a131940faee,2024-04-04 19:13:17.740000,TRU-SPB-10022-S-BLK,26.99
ajs-next-53b92999bf0bdc86ae6ed12cbee39216,2024-01-16 23:46:38.310000,SHE-SNB-95001-S-BLK,29.99
ajs-next-a70ebed600a6ea6a8957298737124064,2024-04-09 13:26:47.032000,TRU-MSB-51422-XS-S-DUMMY,7.99
ajs-next-b17526485152f223fdf5f6f754518279,2024-03-20 17:05:21.932000,TRU-SPB-10022-S-BLK-2PK,44.989999999999995
ajs-next-12c80f22f00576a81c8a6f3fd7e0516b,2024-03-20 13:39:57.384000,TRU-LAB-10210-S-BLK,34.99
ajs-next-b48bd8c483df5bb606b9e09e8b31a6e6,2024-03-20 13:41:34.708000,SHE-HWS-55021-S-BLK,21.99
ajs-next-9bb37943815e0eb33642ef2f20c25100,2024-03-27 14:12:07.873000,TRU-MSB3-51422-BLK-XSS,12.99
ajs-next-f4f0ce5be060ef3cade51bbad691fc83,2024-02-18 13:10:48.051000,SHE-OBC-73001-S-BLK,19.99
ajs-next-89c960b682958f49cf123fb6657e098d,2024-03-10 15:45:58.415000,EMP-HWS-55020-S-BLK,20
ajs-next-2fe08d8a8ea89b9c6a695a94c822705b,2024-04-01 18:44:42.154000,TRU-CSB-10400-S-BLK,28.99
ajs-next-9904ce1f2e6a1695f730bc62960b3e32,2024-03-19 13:23:32.888000,EMP-HWL-42075-S-BLUE,22.99
ajs-next-f96d700e0a632474a7f7d157f10708d2,2024-02-09 19:41:27.291000,EMP-HWSS-55024-XS-S-BLK,15.99
ajs-next-2c36c50b5c14d3a6139d23f1730f5206,2024-01-18 14:18:18.953000,EMP-HWC-42024-S-BLK,22
ajs-next-82e4d07ec5433e193665e007c8987e0f,2024-03-30 22:51:51.535000,EMP-HWS-55020-S-BLK,15.99
ajs-next-e1288dc9cb06ce924c33d66cbf851089,2024-03-30 22:44:51.552000,EMP-SSB-81068-S-BGDY,15.99
ajs-next-906b1a8b75ba811ea6739ceaf99ac663,2024-02-25 07:40:26.811000,SHE-SNC-62001-S-BLK,21.49
ajs-next-d77817e9cb38125e0e55ca4ee551306e,2024-03-08 20:16:08.263000,EMP-HWS-55020-S-BLK,20
ajs-next-a54d812d0c9fcdd847f9c8433f1ebee2,2024-03-30 14:39:55.870000,TRU-SPB-10022-S-BLK,28.99
ajs-next-5004778e51fedebada87a9fac383d057,2024-02-16 22:04:15.187000,TRU-LAB-10210-S-BLK,45
ajs-next-7f8ca283183ef14c4ab60e4c8feaaca1,2024-03-25 00:34:45.505000,EMP-HWL-42002-S-BLK,12.99
ajs-next-f8d72cc6252ca3a79370d56cbb047e79,2024-01-28 20:00:36.294000,TRU-CSB-10400-S-WHT,28.99
ajs-next-d3fc8cd1c25fbc9fff7541e8b891c8ff,2024-01-06 07:23:20.113000,SHE-HWS-55021-S-BLK,20.99
ajs-next-a58d800076d18602ecd08ada4fbc2e57,2024-03-15 15:16:21.434000,TRU-MST-33422-014-CHOC,10.99
ajs-next-3289e4f8b89a6edf74a29ee8e14e1744,2024-04-11 13:10:21.966000,SHE-BHEB-13402-S-BLK,30.99
ajs-next-8d0f0bb79c34b18aee8e3c55f915732a,2024-01-05 06:43:30.524000,TRU-SB-91404-XS-BLK,15.99
ajs-next-e28a70dfb5342cb146597c7682550ef8,2024-03-25 15:52:11.421000,TRU-SPB-10022-S-BLK,28.99
ajs-next-86f958ff153e44b21b4194502848430d,2024-02-11 15:26:44.844000,TRU-LAB-10210-S-BLK,32.99
ajs-next-658b8a6706b71a84529d589e8ec42789,2024-04-06 20:38:06.737000,SHE-SNC-62001-S-LVD,19.99
ajs-next-635044c54ce7145264c908987508819c,2024-03-16 02:55:43.556000,EMP-SNC-62001-S-BLK,25
ajs-next-c002d2d4684b732cb98a08de714738be,2024-04-03 20:46:29.951000,SHE-SSST-48001-S-BLK,26.99
ajs-next-bdef5295178e27dd9b38fa5ba90a6ff2,2024-04-03 20:31:23.306000,SHE-EMS-52002-S-BLK,29.99
ajs-next-22a6d69b5da60e8138209f8bcf6ac344,2024-03-20 14:28:59.326000,"",30.990000000000002
ajs-next-873bdc26cd90bf052ff026bd9302f4cd,2024-03-06 11:59:42.305000,TRU-SPB-10022-S-BLK,26.99
ajs-next-a97491d2f014460db1dec15eccf99963,2024-03-06 12:01:02.470000,TRU-SB-91401-XS-CHT,22
ajs-next-ac2accb057c667de2644c570a95d4748,2024-01-23 22:06:15.364000,SHE-EMS-52002-S-BLK,27.99
ajs-next-cef6343030a8561c912a5ff60202442c,2024-01-18 15:18:11.179000,EMP-HWL-42075-S-BLK,43
ajs-next-dc9f0d0589cc3bad4560fa1b037b3ea1,2024-04-11 02:17:06.386000,"",56.99
ajs-next-ea1f01053145b5b44c3650d35be003bc,2024-04-11 02:44:20.372000,SHE-BHEB-13402-S-BLK,30.99
ajs-next-b37f4a7db95a596da3f7272854773fdb,2024-04-11 11:36:24.489000,SHE-BHEB-13402-S-BLK,32.99
ajs-next-f3a3de47e24a9de8301c6333dc2f4335,2024-04-03 17:13:01.783000,EMP-HWS-55020-S-BLK,12.99
ajs-next-4ca1bde3c45d433d30d83ca3e317f04f,2024-01-06 11:25:05.547000,EMP-HWL-42075-S-BLK,30.99
ajs-next-d8c85e066253fa7e4c228db0737ce5c4,2024-03-05 03:08:51.851000,SHE-HWS-55021-S-BLK,29
ajs-next-2499ee3e8ad8f0ed065dbd3cdf27ec69,2024-03-19 15:36:10.613000,TRU-LAB-10210-S-BLK,34.99
ajs-next-c73d9b2348f8be8f880a2f734f1f1e0a,2024-04-11 16:51:13.283000,SHE-SSSB-95006-S-CHAI,35.99
ajs-next-2f18c024476eb2fa7e2465b3300e912b,2024-04-11 16:44:25.224000,SHE-SSSB-95006-S-CHAI,35.99
ajs-next-cf66737d3055f2bda4b58f072e098e7b,2024-04-10 13:40:12.652000,SHE-EMS-52002-S-LAT,25.99
ajs-next-14c0ee28706d55c201e852922b9c6661,2024-04-11 00:48:38.174000,SHE-SNB-95001-S-RST,36.99
ajs-next-b620384fc8b332af93229102cc70428b,2024-04-11 00:11:05.831000,TRU-SPB-10022-S-BLK,29.99
ajs-next-1fc9c823c5f1b90b8917581d78d25c5b,2024-04-11 00:11:42.819000,TRU-WSB-10024-S-BLK,26.99
ajs-next-c412370ab321406b5dba01aa3868bb8a,2024-01-18 14:17:17.267000,TRU-RSB-97097-S-BLK/WHT,22
ajs-next-d5ffcf3e71464ea0d06bc5af2d8fbaa2,2024-03-30 22:53:39.628000,EMP-SSB-81068-S-BLK,27.99
ajs-next-4a342445ff68a183fdad58f19422201b,2024-03-30 22:53:51.497000,EMP-SSB-81068-S-BGDY,15.99
ajs-next-92e9f9fe349ffe0d362f52d466a3102a,2024-03-30 22:46:43.338000,EMP-HWS-55020-S-BLK,15.99
ajs-next-4307e657a657dacc88c4426826d05a13,2024-04-04 19:14:45.093000,TRU-SPB-10022-S-BLK,26.99
ajs-next-7748dc3256af4d13aa2c571c653cba66,2024-03-26 20:10:57.751000,EMP-HWSS-55024-XS-S-BLK,15.99
ajs-next-105ebe73bc5119bf8bffc179753df2d5,2024-01-19 23:35:32.151000,SHE-CSL-41402-S-BLK,37
ajs-next-91c2a70e445b5331a73cf0b5a53bbec7,2024-01-19 23:56:45.873000,EMP-HWL-42075-S-GRAY,32
ajs-next-b4f155f133400a9d1ad3f7f6260e0477,2024-04-01 14:39:24.283000,TRU-SPB-10022-S-CHT,15.99
ajs-next-5be87e74c849db17eb8d878382e3fecd,2024-03-27 13:57:59.627000,SHE-CSL-41402-S-BLK,26.99
ajs-next-8404e954c6d69fe813206f20b2e75c46,2024-03-27 13:32:31.167000,SHE-HWS-55021-S-BLK,20.99
ajs-next-40e51b95f8a705aa60a24dfbe2652e12,2024-03-27 13:44:34.624000,SHE-HWS-55021-S-BLK,20.99
ajs-next-19a4615967a8fd6dcb59700fdc86662e,2024-03-25 14:47:19.247000,EMP-SNC-62001-S-BLK,17.99
ajs-next-da6ba4bf623166818a0951aa904bf4fd,2024-04-07 02:39:54.188000,EMP-HWOP-31048-S-BLK,37
ajs-next-77636ac290b5d98a0e80aa74dbd1c223,2024-02-26 21:28:34.585000,SHE-CSL-41402-S-BLK,26.99
ajs-next-de9db33758b831dd6126b7038f061939,2024-03-14 17:27:59.054000,TRU-SPB-10001-XS-BLK,15.99
ajs-next-325af1a84ee32bb7939072e89338abe0,2024-01-10 03:02:07.776000,SHE-HWS-55021-S-BGE,25.99
ajs-next-be6035c3d203cf117f17eb04d6bbb83c,2024-03-22 12:53:11.775000,TRU-LAB-10210-S-BLK,34.99
ajs-next-4c95bb7df1bd9a500dbfc5873d6dffc0,2024-03-15 16:06:27.674000,TRU-SPB-10022-S-BLK,44
ajs-next-4c8849e8a51f84e642cefa1c757ff726,2024-03-26 21:41:51.552000,SHE-SSST-48001-S-CHAI,26.99
ajs-next-6f297d855dfe5088d4f2937f06fbed23,2024-02-06 01:08:28.320000,EMP-HWS-55020-S-BLK,13.99
ajs-next-83e8076c2fb263d262c6d5c59479dd9f,2024-03-29 14:39:24.623000,SHE-SNC-62001-S-NUD,23.99
ajs-next-f785689ad37dcf94635163aa9c7460fc,2024-03-29 14:54:11.880000,SHE-SNC-62001-S-NUD,23.99
ajs-next-0a39b9a851fb021359536f1a88b2f1e4,2024-03-20 18:13:17.135000,TRU-SB-91404-XS-BLK,15.99
ajs-next-9095a3a74d608569e19cded45d7e8fc2,2024-04-10 01:38:37.064000,SMNT-WB-22428-LTGRAY,8.99
ajs-next-8bec3eeab7d9b50b2ae62be3233b3094,2024-03-21 19:45:02.162000,SHE-BHEB-13402-S-RST,32.99
ajs-next-8ccbb9eae5b83e204f26636b689393a8,2024-01-28 08:10:30.767000,SHE-SNB-95001-S-BLK,33.99
ajs-next-2f35db5a54d3100b43ab2b2ea7c6f644,2024-01-15 18:14:26.574000,TRU-MST-33422-014-CHOC,10.99
ajs-next-3c351e42d4d3a0f1de098078b9f2fccb,2024-04-11 03:36:21.327000,TRU-SB-91404-XS-BLK,27.99
ajs-next-3ec2307bdf0fe14c8329096d7d2f4424,2024-04-11 17:27:41.807000,TRU-SPB-10022-S-BLK,29.99
ajs-next-7526a83c19fecfcd6dafaf291c942d38,2024-04-06 01:45:12.905000,EMP-SBH-10057-S-BLK,10.99
ajs-next-6f1b33ed01af4364908c34bfe909242f,2024-03-27 14:03:25.342000,SHE-CSL-41402-S-BLK,26.99
ajs-next-f707b801ada2bb21d8a0bc24ffe9ee84,2024-03-27 13:58:14.934000,SHE-CSL-41402-S-BLK,26.99
ajs-next-ba136ca35d871b19d99cdcbef683884a,2024-04-03 03:53:49.828000,TRU-CSB-10400-S-BLK,28.99
ajs-next-002ec52c54e7f33eaba9a5002b6b491f,2024-04-03 03:54:05.105000,TRU-LAB-10210-S-BLK,34.99
ajs-next-30baa63db6de793ab09a4b40370c4bad,2024-03-26 14:49:31.144000,TRU-LAB-10210-S-BLK,34.99
ajs-next-360e1a6607117cc7e7472a5d4e5df511,2024-03-25 14:47:19.541000,EMP-SNC-62001-S-BLK,17.99
ajs-next-1919124c14057e104ebbda1f11e071b5,2024-04-01 14:55:46.207000,TRU-SPB-10001-XS-BLK,15.99
ajs-next-64e92b6ecdf6e20a4c695aba5d9faf95,2024-02-05 16:36:43.985000,TRU-SPB-10022-S-BLK,28.99
ajs-next-bce23ac7d6675471633f565afa059921,2024-04-01 18:45:30.215000,TRU-SPB-10022-S-BLK,28.99
ajs-next-186c12fbde97253ac7291349ac519d70,2024-04-01 18:16:38.056000,SHE-SNB-95001-S-BLK,29.99
ajs-next-9e912e838876761415037de3ca21b457,2024-04-11 00:59:47.437000,TRU-LAB-10210-S-BLK,32.99
ajs-next-73edea7ee3b06bb90c88aa6348a2304e,2024-04-11 00:24:45.251000,BLI-BSWB-3488-S-NUD,35.99
ajs-next-9d43fd9331cd605ac1df79841e008637,2024-04-11 14:28:49.559000,EMP-SB-81004-S-BLK,24.99
ajs-next-ae352b29a5e51766c6f4dfdbfe8fe971,2024-04-04 14:03:26.335000,SHE-SNC-62001-S-NUD,33
ajs-next-c007e560499206d6ec0c1298c75ae587,2024-04-01 20:14:57.768000,SHE-SNC-62001-S-NUD,23.99
ajs-next-73973c9c0cd7b9b7b7b02f95a52cd477,2024-03-28 17:56:48.808000,EMP-SNC-62001-S-BLK,25
ajs-next-0cf6a0ff7217caaf5792dfa61a02869b,2024-01-26 23:24:33.760000,TRU-10023-S-NUD,30
ajs-next-7050074c26bc15630835927bd740fa62,2024-03-20 15:40:23.899000,EMP-SLS-81005-S-BLK,45
ajs-next-ae9cd62cc168228730feede036164099,2024-03-31 21:11:00.068000,TRU-SPB-10022-S-BLK,28.99
ajs-next-5ebae2d7fbb6969821e86b08c9d37708,2024-03-14 17:08:46.589000,TRU-LAB-10210-S-CHT,32.99
ajs-next-a5fa7a021db55852299e7df3fdf69911,2024-01-18 15:17:56.879000,SHE-SNB-95001-S-BLK,42
ajs-next-064596f8be20e6c90c6206b267ee357c,2024-01-18 15:15:48.686000,EMP-HWL-42075-S-BLK,30.99
ajs-next-b2e89eac89e780f6df834bd5d028c604,2024-04-11 02:48:49.883000,SHE-SNU-95002-S-BLK,34.99
ajs-next-67cd2974e0bedab39903b1cd1a568eef,2024-01-18 11:24:51.247000,"",0
ajs-next-04b6b8af3adb838896b138a93d537612,2024-01-18 11:26:11.090000,"",0
ajs-next-7604634a7042c38f76758ca35c3b9cb9,2024-03-26 20:05:21.334000,TRU-LAB-10210-S-BLK,34.99
ajs-next-bab73abb620007e0c082c324c38c4292,2024-02-01 13:36:04.158000,SHE-SNC-62001-S-BLK,23.99
ajs-next-ec2f81def9674805c8ff1b68af93a1f6,2024-03-20 18:49:41.724000,EMP-SNC-62001-S-BLK,17.99
ajs-next-2afede7ea4d3f42ceb28bf4c85b46e0b,2024-04-08 15:13:17.663000,TRU-LAB-10210-S-BLK,48
ajs-next-fffff346b3272ad01a2994de4297b174,2024-04-11 17:46:17.093000,TRU-CSB-10400-S-BLK,44.99
ajs-next-706c36b257cca65bbd8c0cd379f156f5,2024-03-17 00:15:06.764000,SHE-HWS-55021-S-BLK,25.99
ajs-next-d11f722b9841566a4e417e50a0eb75c2,2024-02-13 17:43:25.690000,SHE-SNC-62001-S-BLK,18
ajs-next-c535843e5958814f7e862c681756ec7b,2024-04-10 13:19:41.258000,EMP-HWOP-31048-S-BLK,15.99
ajs-next-208bc49e282128259199043c81337901,2024-04-06 02:53:55.150000,TRU-SPB-10022-S-BLK,28.99
ajs-next-9d300bd008a3962c266767ad0790d67e,2024-04-11 16:58:41.413000,EMP-SBH-10057-S-BLK,10.99
ajs-next-e055b19c2858c8b523e478f92e77c1ee,2024-01-04 16:17:00.583000,EMP-HWL-42075-S-BLK,42
ajs-next-27937ac14e679d8b11fd2815f7285530,2024-02-25 10:35:11.313000,SHE-SNC-62001-S-BLK,21.49
ajs-next-17e3ffd173d7da4ab5248f65b854a064,2024-03-20 13:27:39.260000,SHE-SNC-62001-S-BLK,21.49
ajs-next-90f01059269dcbb4cd736a0e2fa7e625,2024-03-08 20:13:06.063000,TRU-SPB-10022-S-BLK,28.99
ajs-next-d38096228cc628a2d687bd3b56d69c53,2024-04-11 01:14:22.848000,TRU-LAB-10210-S-BLK,32.99
ajs-next-995f100852769ae1673d60f8bccbb801,2024-04-11 01:30:26.139000,TRU-LAB-10210-S-BLK,34.99
ajs-next-6125ded4c513689f2ae84208954debd2,2024-03-25 20:23:44.347000,TRU-SPB-10022-S-BLK,28.99
ajs-next-7a69e6798f820e27e22d27ed82c35071,2024-02-16 22:05:12.709000,SHE-CSL-41402-S-BLK,28
ajs-next-4fc1e0538a2c07a8a9edeb4f901e99e7,2024-01-03 14:28:19.990000,TRU-SPB-10022-S-BLK,28.99
ajs-next-2045abafd0c5b549a08f6b6b30a8de8f,2024-04-07 20:05:56.564000,EMP-SSB-81068-S-BLK,24.99
ajs-next-aded08b1c90dcd9e3579ada31ff25740,2024-03-10 01:07:29.214000,"",52.989999999999995
ajs-next-5b9ba03eb26b07461fe944edf91e7590,2024-03-12 09:55:15.357000,SHE-SNC-62001-S-BLK,30
ajs-next-ecf0ceeef1738966757acafa20bc1d81,2024-01-23 16:36:26.915000,TRU-SB-91404-XS-BLK,19.99
ajs-next-c9bb261a16aa1b221814b4d7911e4d10,2024-03-30 15:31:33.887000,TRU-SB-91404-XS-BLK,19.99
ajs-next-b55ada2db8ee033ce4a9e4d54e2f074a,2024-04-02 15:29:14.339000,TRU-SB-91404-XS-BLK,26
ajs-next-6edb503ec0224aa8c002524b6d549e20,2024-03-27 16:47:22.575000,SHE-SNC-62001-S-NUD,23.99
ajs-next-08ab5331b875bb628e49dcf8f62fb2fc,2024-03-09 02:50:41.799000,SP-SL-S-BLK,23.99
ajs-next-be0b79c097b8afda2bd1440e4b8dd228,2024-01-19 01:00:32.184000,TRU-RSB-97097-S-BLK/WHT,32
ajs-next-3c8749805ec58a48957b6b2e35e1020c,2024-03-13 17:17:12.052000,TRU-SB-91404-XS-BLK,19.99
ajs-next-16763cec67f4066c2f5379e7807f9424,2024-03-13 17:19:35.847000,TRU-SB-91404-XS-BLK,28
ajs-next-aca1c9dc984b856d80511135f76f3731,2024-04-05 10:31:40.704000,EMP-SP-SL-54001-S-SND,15.99
ajs-next-cded952b557a2976d988e4091e1ae754,2024-02-27 17:22:28.584000,TRU-AWS-51401-S-BLK,13
ajs-next-843dafdfdbdeb786f1f04662d9addfb6,2024-02-14 16:33:35.150000,SHE-TKC-62008-S-WHT,22.99
ajs-next-94d15b238f9e9dfeb4d0cb28ef150d9e,2024-04-11 11:47:38.291000,SHE-HWS-55021-S-BGE,25.99
ajs-next-7dac4195173efe306a3028b872332121,2024-04-11 11:43:28.214000,SHE-WCP-81011-S-BLK,49.99
ajs-next-ac719e854b1e4ca6037ff71b2403f0c2,2024-03-28 20:22:13.859000,"",56.370000000000005
ajs-next-472e56f5b4fe94d440cd1ccffafaf1e1,2024-03-11 14:53:55.163000,TRU-SPB-10022-S-BLK,40
ajs-next-c039f46fe5b6475c76649e7e52e47c25,2024-03-11 14:23:43.676000,TRU-SPB-10022-S-BLK,28.99
ajs-next-7817dfe69c99875cc26b33a4904bac0b,2024-02-22 16:38:01.552000,TRU-SPB-10022-S-BLK,28.99
ajs-next-9a43153c468ac623e55180825f034d88,2024-02-18 21:38:01.016000,EMP-HWL-42075-S-BLK,30.99
